letter_id,author,recipient,people_mentioned
letter_130,"Barton, Richard","Pennant, Thomas",Brownlow;da Costa;Allion;Caulfeild;Claws
letter_131,"Bassi, Ferdinando","Pennant, Thomas","Panton, Thomas"
letter_132,"Bassi, Ferdinando","Pennant, Thomas","Panton, Thomas;Eidelburg"
letter_133,"Bassi, Ferdinando","Pennant, Thomas","Panton, Thomas;da Costa"
letter_134,"Bassi, Ferdinando","Pennant, Thomas",Panton;Allion;Seguier
letter_135,"Bassi, Ferdinando","Pennant, Thomas","Panton, Thomas;Bianchi, Giovanni;Ellis, John;Pennant (née Falconer), Elizabeth"
letter_136,"Bassi, Ferdinando","Pennant, Thomas","Ellis;da Costa;Borlase;Bianchi;Carburi;Allion;Scilla, Agostino"
letter_137,"Bassi, Ferdinando","Pennant, Thomas","Columna;Hudson, William;Catesby, Mark;Plucknetio, Leonardo;Willis"
letter_138,"Bassi, Ferdinando","Pennant, Thomas","Panton, Thomas;Bianchi; Olina;Zinanni;Zanotti;Gualtieri;Collinson;da Costa"
letter_139,"Drummond, Robert Hay","Pennant, Thomas",Lord Powis; Mr Sutton
letter_140,"Perry, George","Pennant, Thomas","Pennant (née Falconer), Elizabeth"
letter_141,"Pontoppidan, Erich Ludvigsen","Pennant, Thomas",Frederick V;Copenhagen Royal Academy of Sciences
letter_142,"Pontoppidan, Erich Ludvigsen","Pennant, Thomas","Myddelton, William"
letter_143,"Pontoppidan, Erich Ludvigsen","Pennant, Thomas","Myddelton, William"
letter_144,"Pontoppidan, Erich Ludvigsen","Pennant, Thomas","Myddelton, William"
letter_145,"Pontoppidan, Erich Ludvigsen","Pennant, Thomas",Frederick V;Stukeley;Sloane
letter_146,"Pontoppidan, Erich Ludvigsen","Pennant, Thomas","Myddelton, William;Royal Society"
letter_147,"Pontoppidan, Erich Ludvigsen","Pennant, Thomas",Brünnich;Clasen;Regenfuss;Kratzenstein;Fleischer;Frederick V
letter_148,"Pontoppidan, Erich Ludvigsen","Pennant, Thomas","Jacobus, Oliger;Laverentzen, Johannes;Fleischer;Brünich;Bentinck, Margaret;Frederick V"